id,doc_name,text,req_doc_id
3-4.5.1.3,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Detailed Functional Requirements,3
3-4.5.2,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Performance Requirements,3
3-4.6,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Major Frame Processing Subsystem (MFPS),3
3-4.6.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Functional Requirements,3
3-4.6.1.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Major Functions,3
3-4.6.2,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Performance Requirements,3
3-4.7,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Payload Correction Data Subsystem (PCDS),3
3-4.7.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Functional Requirements,3
3-4.7.1.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Major Functions,3
3-4.7.2,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Performance Requirements,3
3-4.8,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Image Data Processing Subsystem (IDPS),3
3-4.8.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Functional Requirements,3
3-4.8.1.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Major Functions,3
3-4.8.2,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Performance Requirements,3
3-4.9,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Management and Control Subsystem (MACS),3
3-4.9.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Functional Requirements,3
3-4.9.1.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Major Functions,3
3-4.9.2,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Performance Requirements,3
3-4.10,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,LPS Data Transfer Subsystem (LDTS),3
3-4.10.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Functional Requirements,3
3-4.10.1.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Major Functions,3
3-4.10.2,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Performance Requirements,3
4-2,Gemini 8-m Telescopes Project,General Description,4
4-2.5,Gemini 8-m Telescopes Project,User-level requirements,4
4-2.5.8,Gemini 8-m Telescopes Project,User Needs,4
4-2.5.9,Gemini 8-m Telescopes Project,Users of the System,4
4-2.5.9.1,Gemini 8-m Telescopes Project,Astronomers and Observers,4
4-2.5.9.2,Gemini 8-m Telescopes Project,Operations Staff,4
4-2.6,Gemini 8-m Telescopes Project,Operational context,4
4-2.6.4,Gemini 8-m Telescopes Project,Multi-user context,4
4-2.7,Gemini 8-m Telescopes Project,Observing mode requirements,4
4-2.7.1,Gemini 8-m Telescopes Project,Interactive observing,4
4-2.7.2,Gemini 8-m Telescopes Project,Queue-based,4
4-2.7.3,Gemini 8-m Telescopes Project,Remote operations,4
4-2.7.4,Gemini 8-m Telescopes Project,Service,4
4-2.8,Gemini 8-m Telescopes Project,Observing Support,4
4-2.8.1,Gemini 8-m Telescopes Project,Planned Observing,4
4-2.9,Gemini 8-m Telescopes Project,General software requirements,4
4-2.9.1,Gemini 8-m Telescopes Project,Control information flow,4
4-2.9.2,Gemini 8-m Telescopes Project,Astronomical data flow,4
4-2.9.2.1,Gemini 8-m Telescopes Project,Requirements,4
4-2.9.2.1.1,Gemini 8-m Telescopes Project,Data flow,4
4-2.9.2.1.2,Gemini 8-m Telescopes Project,Concurrent data access and display,4
4-2.9.3,Gemini 8-m Telescopes Project,Video information flow,4
4-2.10,Gemini 8-m Telescopes Project,"Operation Privileges, Protections, and Procedures",4
4-2.11,Gemini 8-m Telescopes Project,General performance and reliability requirements,4
4-2.11.1,Gemini 8-m Telescopes Project,Capacity,4
4-2.11.2,Gemini 8-m Telescopes Project,Response time,4
4-2.11.3,Gemini 8-m Telescopes Project,Availability,4
4-2.12,Gemini 8-m Telescopes Project,Test and checkout requirements,4
4-2.13,Gemini 8-m Telescopes Project,Contingencies,4
4-2.13.1,Gemini 8-m Telescopes Project,Fault noti®cation,4
4-2.13.2,Gemini 8-m Telescopes Project,Fault tolerance,4
4-2.13.3,Gemini 8-m Telescopes Project,Redundancy,4
4-2.14,Gemini 8-m Telescopes Project,Constraints,4
4-2.14.1,Gemini 8-m Telescopes Project,User constraints,4
4-2.14.3,Gemini 8-m Telescopes Project,Softwar e constraints,4
4-2.14.4,Gemini 8-m Telescopes Project,Design constraints,4
4-3,Gemini 8-m Telescopes Project,General Requir ements,4
4-3.1,Gemini 8-m Telescopes Project,Data Speci®cations,4
4-3.1.1,Gemini 8-m Telescopes Project,Contr ol Information Flow,4
4-3.1.2,Gemini 8-m Telescopes Project,Astr onomical Data Flow,4
4-3.1.2.1,Gemini 8-m Telescopes Project,Data flow,4
4-3.1.2.2,Gemini 8-m Telescopes Project,Data flow,4
4-3.2,Gemini 8-m Telescopes Project,Operation,4
4-3.2.1,Gemini 8-m Telescopes Project,Operation levels,4
4-3.2.1.3,Gemini 8-m Telescopes Project,Test Level,4
4-3.2.2,Gemini 8-m Telescopes Project,privilege and pr otection levels,4
4-3.2.3,Gemini 8-m Telescopes Project,Capacity,4
4-3.2.5,Gemini 8-m Telescopes Project,Procedures,4
4-3.3,Gemini 8-m Telescopes Project,External Interface Requirements,4
4-3.3.1,Gemini 8-m Telescopes Project,User Interfaces (UIF),4
4-3.3.2,Gemini 8-m Telescopes Project,Har dware interfaces,4
4-3.3.3,Gemini 8-m Telescopes Project,Softwar e interfaces,4
4-3.3.3.1,Gemini 8-m Telescopes Project,On-line Image Processing Interfaces,4
4-3.3.3.2,Gemini 8-m Telescopes Project,On-line Access to Catalogues and Previous Data,4
4-3.3.3.3,Gemini 8-m Telescopes Project,Access to Other Packages,4
4-3.3.4,Gemini 8-m Telescopes Project,Communication interfaces,4
4-3.3.4.1,Gemini 8-m Telescopes Project,Local Area Network (LAN),4
4-3.4,Gemini 8-m Telescopes Project,General Constraints,4
4-3.4.2,Gemini 8-m Telescopes Project,Hardware constraints,4
4-3.4.3,Gemini 8-m Telescopes Project,Software constraints,4
4-3.5,Gemini 8-m Telescopes Project,Attributes,4
4-3.5.3,Gemini 8-m Telescopes Project,Reliability and Availability,4
4-3.5.3.1,Gemini 8-m Telescopes Project,Reliability and Availability Requirements,4
4-3.5.4,Gemini 8-m Telescopes Project,Maintainability,4
4-3.5.4.1,Gemini 8-m Telescopes Project,Maintainance Requirements,4
4-3.5.4.6,Gemini 8-m Telescopes Project,Quantitative Maintainance Requirements,4
4-3.5.5,Gemini 8-m Telescopes Project,Human Engineering,4
4-3.5.6,Gemini 8-m Telescopes Project,Security and Safety,4
4-3.5.6.2,Gemini 8-m Telescopes Project,Security and Safety Requirements,4
4-3.5.9,Gemini 8-m Telescopes Project,Modularity,4
4-3.5.10,Gemini 8-m Telescopes Project,Contingencies,4
4-3.8,Gemini 8-m Telescopes Project,Installation Aspects,4
4-4,Gemini 8-m Telescopes Project,Speci®c Requir ements,4
4-4.1,Gemini 8-m Telescopes Project,Attributes,4
4-4.1.2,Gemini 8-m Telescopes Project,Modularity,4
4-4.2,Gemini 8-m Telescopes Project,Other Controls and Software Requirements,4
4-4.2.1,Gemini 8-m Telescopes Project,On-line database subsystems,4
4-4.2.2,Gemini 8-m Telescopes Project,Communication subsystems,4
4-4.2.4,Gemini 8-m Telescopes Project,System operational requirements,4
4-4.2.4.1,Gemini 8-m Telescopes Project,Normal Operation,4
4-4.2.4.2,Gemini 8-m Telescopes Project,Operation in Failure Mode,4
4-4.2.5,Gemini 8-m Telescopes Project,Standards,4
4-4.2.5.1,Gemini 8-m Telescopes Project,Software Standards,4
4-4.2.5.1.1,Gemini 8-m Telescopes Project,Software Methods,4
4-4.2.5.1.2,Gemini 8-m Telescopes Project,Operating Systems,4
4-4.2.5.2,Gemini 8-m Telescopes Project,Hardware Standards,4
4-4.2.5.4,Gemini 8-m Telescopes Project,Communication Hardware,4
5-3,MODIS Science Data Processing Software Requirements Specification,SYSTEM-LEVEL REQUIREMENTS,5
5-3.2,MODIS Science Data Processing Software Requirements Specification,System Interface Requirements,5
5-3.3,MODIS Science Data Processing Software Requirements Specification,Computer Software Configuration Item Requirements,5
5-4,MODIS Science Data Processing Software Requirements Specification,SCIENCE DATA PRODUCT REQUIREMENTS,5
5-4.1,MODIS Science Data Processing Software Requirements Specification,MODIS Standard Product Requirements,5
5-4.2,MODIS Science Data Processing Software Requirements Specification,Metadata Requirements,5
5-4.3,MODIS Science Data Processing Software Requirements Specification,Product-Specific Requirements,5
5-4.3.1,MODIS Science Data Processing Software Requirements Specification,Climate Modeling Grid Product Requirements,5
5-5,MODIS Science Data Processing Software Requirements Specification,SOFTWARE PROCESS REQUIREMENTS,5
5-5.1,MODIS Science Data Processing Software Requirements Specification,Process Interface Requirements,5
5-5.2,MODIS Science Data Processing Software Requirements Specification,Process Reliability Requirements,5
5-5.3,MODIS Science Data Processing Software Requirements Specification,Process Quality Assurance Standards,5
5-6,MODIS Science Data Processing Software Requirements Specification,OPERATIONS REQUIREMENTS,5
5-6.1,MODIS Science Data Processing Software Requirements Specification,Product Generation Executive Requirements,5
6-3,THEMAS The Energy Management System,Engineering Requirements,6
6-3.1,THEMAS The Energy Management System,Functional Requirements,6
6-3.1.1,THEMAS The Energy Management System,Initialize Operational Parameters,6
6-3.1.1.1,THEMAS The Energy Management System,Load H/C Unit Definitions,6
6-3.1.1.2,THEMAS The Energy Management System,Load Thermostat Definitions,6
6-3.1.1.3,THEMAS The Energy Management System,Load Utilization Parameters,6
6-3.1.1.4,THEMAS The Energy Management System,Set Trigger Values,6
6-3.1.1.5,THEMAS The Energy Management System,Set Overtemp Values,6
6-3.1.1.6,THEMAS The Energy Management System,Establish Valid Temperature Range,6
6-3.1.2,THEMAS The Energy Management System,Initialize System,6
6-3.1.3,THEMAS The Energy Management System,Validate Temperature,6
6-3.1.3.3,THEMAS The Energy Management System,Processing,6
6-3.1.4,THEMAS The Energy Management System,Monitor Temperature,6
6-3.1.4.1,THEMAS The Energy Management System,Determine Temperature Status,6
6-3.1.4.2,THEMAS The Energy Management System,Determine H/C Mode,6
6-3.1.5,THEMAS The Energy Management System,Determine Utilization,6
6-3.1.5.1,THEMAS The Energy Management System,Determine Status of All H/C Units,6
6-3.1.5.1.3,THEMAS The Energy Management System,Processing,6
6-3.1.5.2,THEMAS The Energy Management System,Generate Unit Unavailable Event,6
6-3.1.5.3,THEMAS The Energy Management System,Generate H/C Request,6
6-3.1.6,THEMAS The Energy Management System,Generate H/C Signal,6
6-3.1.6.3,THEMAS The Energy Management System,Processing,6
6-3.1.7,THEMAS The Energy Management System,Generate Alarm Data,6
6-3.1.7.3,THEMAS The Energy Management System,Processing,6
6-3.1.8,THEMAS The Energy Management System,Generate Event Data,6
6-3.1.9,THEMAS The Energy Management System,Change Thermostat Setting,6
6-3.1.9.4,THEMAS The Energy Management System,Processing,6
6-3.1.10,THEMAS The Energy Management System,Generate Reports,6
6-3.1.10.3,THEMAS The Energy Management System,Processing,6
7-3,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Requirements,7
7-3.2,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Message Transfer Services Requirements,7
7-3.2.1,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,General Requirements,7
7-3.2.2,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Input/Output Devices Requirements,7
7-3.2.2.2,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Serial Device Requirements,7
7-3.2.2.3,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Parallel Device Requirements,7
7-3.2.2.4,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Network Device Requirements.,7
7-3.2.3,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Input/Output Interfaces Requirements,7
7-3.2.3.2,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Serial Interface,7
7-3.2.3.5,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Network Interfaces,7
7-3.2.3.6,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Email Interface,7
7-3.2.4,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Input/Output Interface Control,7
7-3.2.5,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Message Management Requirements,7
7-3.2.5.3,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Message Logging,7
7-3.2.5.5,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Message Management APIs,7
7-3.2.6,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Message Distribution/Collection/Validation,7
7-3.2.6.3,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Addressee Database,7
7-3.2.6.4,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Message Validation,7
7-3.2.6.5,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Message Accountability,7
7-3.2.6.6,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Retrospective Search,7
7-3.2.6.8,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Multi-Sectioned Messages,7
7-3.2.6.9,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Core Incoming Message Management Requirements,7
7-3.2.6.10,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Message Routing/Auto Forward/Distribution,7
7-3.2.6.11,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Message Profiling,7
7-3.2.6.12,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Core Outgoing Message Management Requirements,7
7-3.3,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Voice Communications Requirements,7
7-3.3.1,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Core Voice Communications Requirements Overview,7
7-3.3.2,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Telephone Services,7
7-3.3.3,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Voice Communications Services,7
7-3.3.4,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Broadcast Services,7
7-3.3.5,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Visual Services Requirements,7
7-3.3.5.1,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Teleconferencing Requirements,7
7-3.4,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Information Technical Service Management Requirements,7
7-3.5,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Network Services,7
7-3.5.2,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Network Communications,7
7-3.5.2.1,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Local Area Network Communications,7
7-3.5.2.2,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Metropolitan Area Communications,7
7-3.5.2.3,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Wide Area Network Communications,7
7-3.5.2.4,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Dialup Network,7
7-3.5.2.5,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Other Network Communications,7
7-3.5.3,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Network Protocols,7
7-3.5.4,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Network Applications,7
7-3.5.4.1,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Electronic Mail (E-mail) Services,7
7-3.5.4.2,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Directory Services,7
7-3.5.4.3,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,File Transfer,7
7-3.5.4.4,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Terminal Access,7
7-3.5.4.5,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Network Information Discovery and Retrieval,7
7-3.5.5,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Network Services Applications Defined in Other Requirements Specifications,7
7-3.5.5.5,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Personal/Microcomputer Network Support,7
7-3.6,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,C4I Communications Services Requirements,7
7-3.6.5,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,C4I Voice Communications Requirements,7
7-3.6.6,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,Combat Net Radio,7
7-3.6.7,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,C4I Interfaces,7
7-3.6.7.1,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,TADIL-A,7
7-3.6.7.2,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,TADIL-B,7
7-3.6.7.3,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,TADIL-J,7
7-3.6.7.4,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,TCIM,7
7-3.6.7.5,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,TLC-10,7
7-3.6.7.6,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,PLI,7
7-3.6.7.7,Comms Software Requirements Specification for Defense Information Infrastructure Common Operating Environment,C4I Interface Control,7
8-4,single/multi player Mahjong computer game,Functional Requirements,8
8-4.1,single/multi player Mahjong computer game,The MultiMahjongServer,8
8-4.2,single/multi player Mahjong computer game,Beginning the Game,8
8-4.3,single/multi player Mahjong computer game,Playing the Game,8
8-4.4,single/multi player Mahjong computer game,Ending the Game,8
8-4.5,single/multi player Mahjong computer game,Computer Opponent (CO),8
8-5,single/multi player Mahjong computer game,Non-Functional Requirements,8
8-5.1,single/multi player Mahjong computer game,Nature of the Users,8
8-5.1.1,single/multi player Mahjong computer game,MultiMahjongClient,8
8-5.1.2,single/multi player Mahjong computer game,MultiMahjongServer,8
8-5.2,single/multi player Mahjong computer game,Error Handling,8
8-5.2.1,single/multi player Mahjong computer game,Nonfatal errors,8
8-5.2.2,single/multi player Mahjong computer game,Fatal errors,8
8-5.3,single/multi player Mahjong computer game,Implementation Constraints,8
8-5.5,single/multi player Mahjong computer game,Performance Constraints,8
8-6,single/multi player Mahjong computer game,User Interface Requirements,8
8-6.1,single/multi player Mahjong computer game,User Interface - MultiMahjongServer,8
8-6.2,single/multi player Mahjong computer game,User Interface - MultiMahjongClient,8
8-6.3,single/multi player Mahjong computer game,Graphical User Interface - MultiMahjongClient,8
8-7,single/multi player Mahjong computer game,Document/Training Requirements,8
8-7.1,single/multi player Mahjong computer game,MultiMahjongServer Documentation,8
8-7.2,single/multi player Mahjong computer game,MultiMahjongClient Documentation,8
8-7.3,single/multi player Mahjong computer game,Coding and Design Documentation,8
9-3,Tactical Control System (TCS) System/Subsystem Specification - Cruise Missiles Project and Unmanned Air Vehicles Joint Project,ENGINEERING REQUIREMENTS,9
9-3.1,Tactical Control System (TCS) System/Subsystem Specification - Cruise Missiles Project and Unmanned Air Vehicles Joint Project,Required States And Modes,9
9-3.1.1,Tactical Control System (TCS) System/Subsystem Specification - Cruise Missiles Project and Unmanned Air Vehicles Joint Project,Startup State,9
9-3.1.1.1,Tactical Control System (TCS) System/Subsystem Specification - Cruise Missiles Project and Unmanned Air Vehicles Joint Project,Normal Startup Mode,9
9-3.1.1.2,Tactical Control System (TCS) System/Subsystem Specification - Cruise Missiles Project and Unmanned Air Vehicles Joint Project,Recovery Startup Mode,9
9-3.1.2,Tactical Control System (TCS) System/Subsystem Specification - Cruise Missiles Project and Unmanned Air Vehicles Joint Project,Operations State,9
9-3.1.2.1,Tactical Control System (TCS) System/Subsystem Specification - Cruise Missiles Project and Unmanned Air Vehicles Joint Project,Normal Operations Mode,9
9-3.1.2.2,Tactical Control System (TCS) System/Subsystem Specification - Cruise Missiles Project and Unmanned Air Vehicles Joint Project,Training Operations Mode,9
